Residential Building Causes -  ROUNDED National Fire Injury Estimates by Cause (2003-2018),,,,,,,,,,,,,,,,,
,2009,455,215,515,410,"1,815",835,340,805,475,175,75,50,585,"1,085",290,"8,125"
,2010,480,335,605,485,"2,030",725,290,815,565,115,80,65,655,"1,030",265,"8,525"
,2011,555,275,610,425,"1,895",890,445,815,600,165,135,65,615,"1,145",285,"8,925"
,2012,495,235,435,565,"2,395",735,700,780,470,155,110,75,100,680,370,"8,300"
,2013,425,210,510,540,"2,330",615,575,800,420,150,100,50,105,790,355,"7,975"
,2014,435,145,470,665,"2,175",660,515,665,425,155,105,25,120,760,235,"7,550"
,2015,410,100,415,405,"1,900",625,475,725,470,140,65,35,180,920,350,"7,200"
,2016,420,120,430,345,"1,795",615,420,580,395,125,70,65,245,930,370,"6,925"
,2017,395,100,430,420,"1,625",520,395,605,365,125,70,50,315,910,315,"6,650"
,2018,445,115,425,430,"1,560",670,405,635,410,230,80,60,305,"1,075",350,"7,175"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Multifamily Residential Building Fire Injuries - Causes,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Multifamily*
,2003,255,95,305,110,"1,200",140,110,405,275,35,15,15,295,340,45,"3,650"
,2004,215,135,355,90,"1,295",140,150,415,230,5,10,10,270,390,75,"3,775"
,2005,280,115,405,115,"1,195",160,90,425,215,10,15,20,295,365,100,"3,800"
,2006,255,110,425,80,"1,185",170,100,380,210,15,15,10,310,355,95,"3,725"
,2007,310,80,315,100,"1,380",220,105,345,220,35,10,5,265,360,120,"3,875"
,2008,300,45,335,95,"1,470",285,140,410,255,20,10,20,280,440,90,"4,200"
,2009,280,95,340,125,"1,415",280,125,295,230,15,15,20,285,395,145,"4,050"
,2010,225,100,300,65,"1,600",285,120,315,280,25,20,10,280,430,195,"4,250"
,2011,255,70,380,90,"1,660",270,100,445,280,30,25,15,305,425,110,"4,450"
,2012,260,85,335,155,"1,895",145,345,290,290,20,25,20,10,335,120,"4,325"
,2013,275,45,280,170,"1,740",250,275,295,245,30,25,15,15,255,65,"3,975"
,2014,170,40,260,155,"1,860",205,305,335,270,20,30,15,15,280,130,"4,100"
,2015,185,45,225,130,"1,770",195,205,240,205,15,30,25,65,385,115,"3,825"
,2016,170,30,260,140,"1,585",155,180,315,180,35,20,10,110,340,95,"3,625"
,2017,260,50,245,120,"1,570",190,195,265,215,25,10,5,155,320,160,"3,800"
,2018,235,65,260,95,"1,445",120,270,300,245,60,10,25,230,345,170,"3,875"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Other Residential Building Fire Injuries - Causes,,,,,,,,,,,,,,,,
,Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other Residential*
,2003,45,5,65,50,135,50,30,45,35,<3,5,15,20,55,5,575
,2004,20,20,95,30,130,35,20,55,75,10,<3,5,55,40,10,600
,2005,35,15,115,35,120,55,20,55,40,10,5,<3,30,55,25,600
,2006,65,5,95,20,105,35,20,65,40,5,20,5,35,55,20,600
,2007,55,<3,50,30,120,50,55,70,15,10,10,<3,15,40,15,525
,2008,35,20,40,40,115,35,25,60,35,5,5,<3,30,60,5,525
,2009,40,<3,60,5,130,30,10,25,30,5,<3,5,25,50,15,425
,2010,45,5,35,35,110,30,30,30,35,10,15,<3,35,65,10,500
,2011,35,10,50,20,115,45,35,35,30,15,10,<3,30,60,20,525
,2012,25,<3,30,45,145,25,35,30,10,5,5,<3,5,40,20,425
,2013,20,<3,50,25,155,20,45,50,35,10,<3,5,15,40,20,500
,2014,25,15,35,30,110,50,20,35,30,5,<3,<3,5,35,15,425
,2015,60,<3,20,40,85,25,35,25,45,<3,<3,<3,15,50,25,425
,2016,30,30,45,20,100,25,40,30,30,15,15,<3,15,40,30,450
,2017,35,<3,25,25,105,30,10,30,30,10,5,<3,15,55,20,400
,2018,25,<3,25,40,105,40,40,45,25,20,5,5,25,40,25,475
